Designation,Qty,Description,Value,Manufacturer,Part Number,Package,RS Stock No.,RS Price (incl VAT),Mouser,Mouser Price,Farnell,Farnell Price,Other,Price,Purchased,
U1,1,ESP32 Wroom-32 Dev,,Espressif,,PDIP,,,,,,,eBay,,Y,eBa
U2,1,Display,"3.5"" TFT",,,,,,,,,,eBay,12.58,Y,
,4,,,,,,488-1724,,,,,,,,,
U3,1,Power Regulator,"5V, 1A",TI,LM340S-5.0/NOPB ,TO-263,535-9363,2.0808,LM340S-5.0/NOPB ,1.54,3122711,2.1,,,,
"U3, U4",2,Signal buffers,Rail-to-rail opamp,TI,TLV2374IPWR,TSSOP-14,-,-,595-TLV2374IPWR,1.46,3118013,1.932,,,,
"C1, C3",2,,100nF,AVX,08055C104KAT2A,805,464-6688,,,,,,,,Y,
C2,1,Power reg input smoothing cap,0.22µF,,,805,798-4624,,,,,,,,Y,
"D1, D2",2,Reverse Polarity Protection,"40V, 1A",,PMEG4010ER,SOD123W,-,-,771-PMEG4010ER115,No stock,1907689,0.3384,,,,
R1..R12,12,Voltage Dividers,"10K, 0.1% metal film",,,,241-3343,0.3924,603-RT0805BRD0710KL,0.075,2112791,0.99,,,,
R13,1,Display RD pin pullup,10K,,,,223-0562,,,,,,,,Y,
SW1,1,Rotary Encoder,EC11,Generic,"EC11, 20mm D-shaft",PDIP,,,,,,,eBay,3.67,Y,
SW2,1,Power Switch,SPST,Generic,SS-12F23 ,SIP,,,,,,,eBay,3.36,Y,
,,,,,,,,,,,,,,,,
J1,1,DSUB9 ,DB9 Male,,,,239-5849,1.0716,,,,,,,Y,
J2,1,Battery connector,9V battery pigtail,,,,,,,,,,,,Y,
J3,1,DC Power Socket,2.1mmx5.5mm,Generic,DC-005,,,,,,,,eBay,0.8625,Y,
